Date (date),State Name (state_name),State Code (state_code),District Name (district_name),District Code (district_code),Station Name (station_name),Latitude (latitude),Longitude (longitude),Basin (basin),Sub Basin (sub_basin),Source (source),Depth to Water Level (currentlevel),Level Difference (level_diff)
"2019-08-29","Bihar","10","Bhojpur","193","Farhda","25.68167","84.65444","Ganga","Ghaghara Confluence To Gomti Confluence","CGWB","1.23","-5.98"
"2018-01-09","Gujarat","24","Bharuch","442","Sindhav","22.02694","72.63611","Mahi","Mahi Lower","CGWB","2.03","-4.53"
"2015-01-06","West Bengal","19","Purulia","321","Kotshila","23.45","86.00833","Ganga","Damodar","CGWB","4.5","2.58"
"2016-08-26","West Bengal","19","Purulia","321","Podalaroad","23.35","86.4","Ganga","Damodar","CGWB","1.42","-6.18"
"2017-04-16","Kerala","32","Malappuram","562","Pukattery","10.88333","76.075","West Flowing Rivers From Tadri To Kanyakumari","Varrar And Others","CGWB","9.64","0.34"
"2014-08-24","Maharashtra","27","Solapur","496","Chincholi","17.6","76.05","Krishna","Bhima Lower","CGWB","8.6","-1.0"
"2017-01-04","Karnataka","29","Chikkamagaluru","532","Kottigehara","13.125","75.50417","West Flowing Rivers From Tadri To Kanyakumari","Netravati And Others","CGWB","6.97","1.01"
"2021-03-22","Haryana","6","Kurukshetra","68","Jogna Khera","29.97361","76.82778","Indus (Up To Border)","Ghaghar And Others","CGWB","33.3","-3.1"
"2014-08-24","Madhya Pradesh","23","Ujjain","435","Baijnath","23.60278","75.75889","Ganga","Chambal Upper","CGWB","5.3","-3.5"
"2018-01-07","Madhya Pradesh","23","Damoh","400","Nohta","23.67833","79.57361","Ganga","Yamuna Lower","CGWB","3.05","0.03"
"2016-11-04","Karnataka","29","Mysuru","545","Mullur","11.98389","76.46667","Cauvery","Cauvery Middle","CGWB","14.92","-1.18"
"2017-08-24","Telangana","36","Medak","513","Munipally","17.69028","77.875","Godavari","Manjra","CGWB","11.72","-0.83"
"2019-04-07","Kerala","32","Kozhikode","561","Kunnumakkara","11.67278","75.58056","West Flowing Rivers From Tadri To Kanyakumari","Varrar And Others","CGWB","3.3","1.2"
"2017-01-04","Goa","30","North Goa","551","Bori","15.35556","74.00333","West Flowing Rivers From Tapi To Tadri","Vasishti And Others","CGWB","1.22","-0.15"
"2014-01-06","West Bengal","19","Howrah","313","Shyampur2","22.3","88.02472","Ganga","Bhagirathi And Others (Ganga Lower)","CGWB","1.59","0.68"
"2018-01-04","Madhya Pradesh","23","Mandsaur","416","Fatehgarh Npz","23.98167","75.10333","Ganga","Chambal Upper","CGWB","6.75","1.75"
"2016-01-04","Karnataka","29","Dakshina Kannada","534","Perar","12.98083","74.91611","West Flowing Rivers From Tadri To Kanyakumari","Netravati And Others","CGWB","7.8","1.42"
"2014-03-01","Madhya Pradesh","23","Neemuch","419","Manasa","24.47056","75.14389","Ganga","Chambal Upper","CGWB","5.18","-1.81"
"2019-11-12","Madhya Pradesh","23","Sidhi","433","Semariha","24.13278","81.55222","Ganga","Sone","CGWB","2.5","0.15"
"2019-08-19","Andhra Pradesh","28","Guntur","506","Kolluru-DW14","16.16667","80.805","Krishna","Krishna Lower","CGWB","0.75","-2.73"
"2013-05-14","Bihar","10","Patna","212","Mokama","25.50417","85.29583","Ganga","Gandak And Others","CGWB","5.27","-0.13"
"2019-08-29","Rajasthan","8","Ajmer","86","SARWAD","26.05","75.0","Ganga","Banas","CGWB","4.0","-0.1"
"2016-05-14","Madhya Pradesh","23","Betul","394","Bhonra","22.27778","77.86972","Narmada","Narmada Upper","CGWB","6.45","2.65"
"2017-12-31","Punjab","3","Kapurthala","35","Chakoke-Pz","31.54111","75.38056","Indus (Up To Border)","Beas","CGWB","6.24","-0.52"
"2015-01-04","Madhya Pradesh","23","Rewa","424","Khatkhari","24.70889","81.9925","Ganga","Tons","CGWB","3.95","1.17"
