Date (date),State Name (state_name),State Code (state_code),District Name (district_name),District Code (district_code),Station Name (station_name),Latitude (latitude),Longitude (longitude),Basin (basin),Sub Basin (sub_basin),Source (source),Depth to Water Level (currentlevel),Level Difference (level_diff)
"2018-01-28","Chhattisgarh","22","Rajnandgaon","388","Joratarai","21.19083","81.18528","Mahanadi","Mahanadi Upper","CGWB","6.15","3.73"
"2015-05-14","Madhya Pradesh","23","Raisen","421","Gairatganj(s)","23.40972","78.21944","Ganga","Yamuna Lower","CGWB","3.93","0.96"
"2019-08-30","Odisha","21","Balangir","345","Kholan","20.2325","83.0775","Mahanadi","Mahanadi Lower","CGWB","2.18","-4.83"
"2021-01-09","Assam","18","Karbi Anglong","292","Diphu","25.84167","93.45","Brahamaputra","Brahmaputra Lower","CGWB","19.58","17.86"
"2016-04-16","Odisha","21","Sonepur","372","Koiramunda","20.96639","83.75","Mahanadi","Mahanadi Lower","CGWB","5.95","-0.03"
"2020-03-09","Haryana","6","Kurukshetra","68","Jogna Khera","29.97361","76.82778","Indus (Up To Border)","Ghaghar And Others","CGWB","36.4","3.1"
"2017-11-04","Telangana","36","Medak","513","Lingampalle-PZ","17.66667","77.75833","Godavari","Manjra","CGWB","5.62","2.65"
"2016-03-05","Tamil Nadu","33","Tiruppur","634","Dharapuram2","10.73889","77.52917","Cauvery","Cauvery Middle","CGWB","4.3","0.48"
"2014-11-06","Odisha","21","Koraput","363","Baipariguda","18.75833","82.43833","Godavari","Godavari Lower","CGWB","3.7","1.92"
"2016-05-14","Jammu And Kashmir","1","Rajouri","12","Bagnoti","33.14167","74.3","Indus (Up To Border)","Chenab","CGWB","6.21","-2.64"
"2014-11-04","Gujarat","24","Porbandar","456","Simar","21.94694","69.68583","West Flowing Rivers Of Kutch And Saurashtra Including Luni","Bhadar And Other West Flowing Rivers","CGWB","6.4","1.12"
"2016-11-04","Telangana","36","Warangal","522","Ghanpur 2010pz","17.85","79.36667","Krishna","Krishna Lower","CGWB","10.2","-7.4"
"2015-02-18","Madhya Pradesh","23","Seoni","428","Keolari","22.37139","79.91083","Godavari","Weinganga","CGWB","1.4","0.1"
"2020-01-09","Karnataka","29","Kalaburagi","538","Revannur","16.99167","76.725","Krishna","Bhima Lower","CGWB","1.85","0.54"
"2016-11-04","Punjab","3","Ludhiana","36","Sherpur-Pz","30.93611","76.30417","Indus (Up To Border)","Sutlaj Lower","CGWB","5.55","1.45"
"2014-02-14","Madhya Pradesh","23","Raisen","421","Silwani","23.3","78.43972","Narmada","Narmada Upper","CGWB","7.38","1.08"
"2014-11-06","Odisha","21","Nuapada","368","Darlimunda","20.82306","82.63167","Mahanadi","Mahanadi Lower","CGWB","1.55","1.1"
"2014-04-16","West Bengal","19","Bankura","305","Junsura2","23.03694","87.145","Ganga","Damodar","CGWB","3.25","-2.35"
"2019-11-09","Rajasthan","8","Jaipur","102","Jatwara Pz","26.87556","76.20833","Ganga","Banas","CGWB","27.5","3.41"
"2015-11-06","Kerala","32","Kollam","559","Vavvakkavu","9.10056","76.52306","West Flowing Rivers From Tadri To Kanyakumari","Periyar And Others","CGWB","1.9","0.03"
"2016-12-04","Tamil Nadu","33","Thoothukkudi","594","Karisalkulam","9.15","78.16667","East Flowing Rivers Between Pennar And Kanyakumari","Vaippar And Others","CGWB","10.6","-0.6"
"2014-01-04","Andhra Pradesh","28","Y.S.R.","504","Sanipai","14.11667","78.95","Pennar","Pennar Lower","CGWB","5.67","2.88"
"2017-11-04","Punjab","3","Ferozepur","31","Ladhuwala","30.53194","74.38556","Indus (Up To Border)","Sutlaj Lower","CGWB","1.2","0.57"
"2017-06-22","Tamil Nadu","33","Cuddalore","570","Maruthur2","11.49222","79.60278","East Flowing Rivers Between Pennar And Kanyakumari","Ponnaiyar And Other","CGWB","30.32","-10.96"
"2018-05-29","Gujarat","24","Jamnagar","447","Seth vadala","22.03333","70.125","West Flowing Rivers Of Kutch And Saurashtra Including Luni","Bhadar And Other West Flowing Rivers","CGWB","10.6","-0.1"
"2014-11-04","Karnataka","29","Dakshina Kannada","534","Ballalu","12.93667","75.33","West Flowing Rivers From Tadri To Kanyakumari","Netravati And Others","CGWB","5.7","2.59"
"2016-05-14","Karnataka","29","Shivamogga","547","Heddarapura","13.93611","75.26944","West Flowing Rivers From Tadri To Kanyakumari","Netravati And Others","CGWB","8.0","2.4"
"2014-05-14","Telangana","36","Nizamabad","516","Dandepalli 2010Pz1","18.95833","78.17222","Godavari","Godavari Middle","CGWB","4.95","0.95"
"2015-11-06","West Bengal","19","Paschim Medinipur","318","Topsia1","22.26194","86.91861","Subernarekha","Subernarekha","CGWB","9.64","-1.77"
"2020-01-09","Andhra Pradesh","28","Chittoor","503","Satyavedu","13.42833","79.95333","East Flowing Rivers Between Pennar And Kanyakumari","Palar And Other","CGWB","0.89","0.22"
"2013-08-24","Gujarat","24","Panch Mahals","454","Santrampur","23.17083","73.90833","Mahi","Mahi Upper","CGWB","3.56","-5.82"
"2015-11-04","Tamil Nadu","33","Pudukkottai","582","Avudaiyarkoil1","10.075","79.03361","East Flowing Rivers Between Pennar And Kanyakumari","Pamba And Others","CGWB","4.36","1.24"
"2013-11-06","Odisha","21","Khordha","362","B-37 OUAT","20.26028","85.72528","Mahanadi","Mahanadi Lower","CGWB","1.6","0.12"
"2016-11-04","Madhya Pradesh","23","Chhatarpur","398","Putaria","25.115","79.3875","Ganga","Yamuna Lower","CGWB","7.88","5.81"
"2013-01-01","Madhya Pradesh","23","Shivpuri","432","Khareh","25.10333","77.72417","Ganga","Yamuna Lower","CGWB","8.62","5.07"
"2015-11-04","Jharkhand","20","Sahebganj","340","Rajmahal","25.03333","87.81333","Ganga","Bhagirathi And Others (Ganga Lower)","CGWB","3.1","-0.5"
"2013-11-04","Chhattisgarh","22","Surguja","389","Tattapani1","23.68889","83.65833","Ganga","Sone","CGWB","9.04","-2.78"
"2020-08-24","Madhya Pradesh","23","Harda","408","Mandla","22.21861","76.94694","Narmada","Narmada Middle","CGWB","3.73","-4.27"
"2014-01-04","Andhra Pradesh","28","Visakhapatnam","520","L Singavaram-DW13","17.81389","82.81667","East Flowing Rivers Between Mahanadi And Pennar","Nagvati And Other","CGWB","2.04","0.84"
"2013-01-04","Karnataka","29","Ballari","528","Sirigeri1","15.44167","76.84167","Krishna","Tungabhadra Lower","CGWB","3.65","0.23"
"2019-08-19","Maharashtra","27","Kolhapur","480","Kini wathar","16.87028","74.2975","Krishna","Krishna Upper","CGWB","2.7","-12.0"
"2014-08-24","Karnataka","29","Chikkamagaluru","532","Herur","13.37667","75.39972","Krishna","Tungabhadra Upper","CGWB","3.12","-4.45"
"2014-08-26","Odisha","21","Baleshwar","346","Lingapada","21.27917","86.68556","Brahmani And Baitarni","Baitarni","CGWB","4.01","-0.9"
"2015-08-24","Rajasthan","8","Jhalawar","105","JHIRI","24.27083","76.73056","Ganga","Kali Sindh And Others Up To Confluence With Parbati","CGWB","1.05","-3.18"
"2013-01-04","Rajasthan","8","Ganganagar","100","SANGITA","29.225","73.77917","Indus (Up To Border)","Ghaghar And Others","CGWB","0.01","-0.49"
"2015-01-06","West Bengal","19","Purulia","321","Baghmundi","23.19167","86.05","Subernarekha","Subernarekha","CGWB","4.63","1.01"
"2020-01-09","Haryana","6","Panipat","71","Puther Pz","29.23333","76.87778","Ganga","Yamuna Upper","CGWB","11.67","-1.75"
"2019-11-29","Uttar Pradesh","9","Fatehpur","142","Barwa","25.95","80.43333","Ganga","Yamuna Lower","CGWB","25.33","-2.56"
"2017-05-14","Karnataka","29","Uttara Kannada","550","Kansur1","14.51667","74.84167","West Flowing Rivers From Tapi To Tadri","Vasishti And Others","CGWB","6.08","0.93"
"2020-11-29","Karnataka","29","Mysuru","545","Gowdagere","12.19167","76.375","Cauvery","Cauvery Middle","CGWB","8.07","6.51"
"2017-05-04","West Bengal","19","Hooghly","312","Mirzapur2","22.88889","88.0425","Ganga","Bhagirathi And Others (Ganga Lower)","CGWB","15.15","-0.17"
"2014-01-04","Telangana","36","Adilabad","501","Jainath","19.73333","78.64583","Godavari","Wardha","CGWB","5.07","0.25"
"2015-01-06","Kerala","32","Palakkad","563","Gopalapuram","10.68611","76.86944","West Flowing Rivers From Tadri To Kanyakumari","Varrar And Others","CGWB","8.4","2.48"
"2013-11-04","Maharashtra","27","Amravati","468","Benoda (WT)_Pz","21.45833","78.175","Godavari","Wardha","CGWB","5.1","0.15"
"2013-04-20","Madhya Pradesh","23","Shajapur","430","Panwadi","23.50444","76.40389","Ganga","Kali Sindh And Others Up To Confluence With Parbati","CGWB","2.56","-7.3"
"2020-11-29","Uttar Pradesh","9","Muzaffarnagar","172","Sukratal","29.495","77.99","Ganga","Above Ramganga Confluence","CGWB","2.9","0.5"
"2015-08-24","Karnataka","29","Kodagu","541","Bittangala","12.16722","75.84333","Cauvery","Cauvery Upper","CGWB","1.3","-6.95"
"2015-08-26","West Bengal","19","Nadia","320","Bhajan Ghat1","23.38861","88.73583","Ganga","Bhagirathi And Others (Ganga Lower)","CGWB","3.41","-2.84"
"2018-04-30","Rajasthan","8","Alwar","87","RAMGARH1","27.58333","76.80972","Ganga","Yamuna Middle","CGWB","26.8","10.83"
"2015-08-24","Madhya Pradesh","23","Chhindwara","399","Chinchkheda","21.64028","78.47944","Godavari","Weinganga","CGWB","8.1","-3.16"
"2013-08-24","Maharashtra","27","Pune","490","Rajgurnagar (Khed)","18.86389","73.89722","Krishna","Bhima Upper","CGWB","0.75","-2.54"
"2014-11-06","West Bengal","19","Birbhum","307","Paikpara1","23.85417","87.69694","Ganga","Bhagirathi And Others (Ganga Lower)","CGWB","9.3","-1.48"
"2017-01-06","Kerala","32","Wayanad","567","Kamblakat","11.675","76.075","Cauvery","Cauvery Middle","CGWB","18.13","0.53"
"2013-05-14","Himachal Pradesh","2","Una","26","Bawal","31.54111","76.31111","Indus (Up To Border)","Sutlaj Lower","CGWB","1.37","-0.57"
"2013-08-24","Uttar Pradesh","9","Lucknow","162","Bakshi ka talab","26.98333","80.91667","Ganga","Gomti","CGWB","10.99","-0.64"
"2015-05-14","Chhattisgarh","22","Raipur","387","Arjuni","21.69167","82.06528","Mahanadi","Mahanadi Upper","CGWB","5.89","1.35"
"2016-01-06","Kerala","32","Kozhikode","561","Chiulavi (Niravamal)","11.735","75.68861","West Flowing Rivers From Tadri To Kanyakumari","Varrar And Others","CGWB","7.63","0.81"
"2017-11-04","Rajasthan","8","Jaipur","102","CHAKSU","26.6","75.95","Ganga","Banas","CGWB","11.3","0.25"
"2016-05-14","Karnataka","29","Kalaburagi","538","Mashal","17.29167","76.24167","Krishna","Bhima Lower","CGWB","10.03","-0.46"
"2018-05-19","Telangana","36","Nizamabad","516","Nizamsagar 2012DW","18.23028","77.93556","Godavari","Manjra","CGWB","6.8","2.39"
"2020-08-24","Tamil Nadu","33","Chennai","568","Besant Nagar","13.00139","80.27","East Flowing Rivers Between Pennar And Kanyakumari","Palar And Other","CGWB","5.8","-0.7"
"2017-04-16","Odisha","21","Nuapada","368","Sanmaheswar","20.37361","82.70083","Mahanadi","Mahanadi Lower","CGWB","7.03","2.93"
"2014-04-16","West Bengal","19","Malda","316","Deotala","25.2625","88.30972","Ganga","Bhagirathi And Others (Ganga Lower)","CGWB","2.13","0.72"
"2015-01-06","West Bengal","19","Murshidabad","319","Pakamati","24.05444","88.21833","Ganga","Bhagirathi And Others (Ganga Lower)","CGWB","5.35","0.25"
"2013-01-04","Madhya Pradesh","23","Rewa","424","Garh","24.81556","81.645","Ganga","Tons","CGWB","12.26","7.0"
"2016-08-24","Andhra Pradesh","28","Visakhapatnam","520","Rishikonda 2011U","17.79194","83.385","East Flowing Rivers Between Mahanadi And Pennar","Nagvati And Other","CGWB","2.75","0.18"
"2015-01-04","Maharashtra","27","Satara","494","Vikhle","17.46194","74.61806","Krishna","Krishna Upper","CGWB","1.8","-1.2"
"2014-08-24","Madhya Pradesh","23","Sagar","425","Sagar","23.83333","78.7675","Ganga","Yamuna Lower","CGWB","1.0","-1.94"
"2017-11-04","Himachal Pradesh","2","Una","26","Singhnei","31.69111","76.035","Indus (Up To Border)","Sutlaj Lower","CGWB","22.17","0.44"
"2014-01-04","Rajasthan","8","Rajsamand","112","BAGHANA","25.51111","73.8625","Ganga","Banas","CGWB","6.56","3.59"
"2019-01-30","Uttar Pradesh","9","Mahoba","165","Mahoba NEW","25.27917","79.87806","Ganga","Yamuna Lower","CGWB","8.39","1.58"
"2019-01-03","Karnataka","29","Davangere","535","Hebbalu","14.37639","76.09861","Krishna","Tungabhadra Upper","CGWB","12.24","2.12"
"2019-11-09","Gujarat","24","Anand","440","Tarapur Pz-II","22.48611","72.66111","Sabarmati","Sabarmati Upper","CGWB","2.05","-0.72"
"2018-08-03","Tamil Nadu","33","Karur","576","Karur2","10.95833","78.08333","Cauvery","Cauvery Middle","CGWB","4.05","-0.35"
"2016-05-14","Karnataka","29","Dakshina Kannada","534","Kateel","13.04444","74.87028","West Flowing Rivers From Tadri To Kanyakumari","Netravati And Others","CGWB","3.15","0.8"
"2015-01-08","Rajasthan","8","Alwar","87","RAMGARH1","27.58333","76.80972","Ganga","Yamuna Middle","CGWB","22.9","10.73"
"2015-08-26","Odisha","21","Kendujhar","361","Ghasipura pz","21.21111","86.10833","Brahmani And Baitarni","Baitarni","CGWB","2.83","-4.25"
"2013-11-04","Telangana","36","Khammam","509","Annapareddipalli","17.20889","80.78056","Krishna","Krishna Lower","CGWB","3.72","-3.08"
"2014-07-01","West Bengal","19","Murshidabad","319","Salar2","23.77611","88.10833","Ganga","Bhagirathi And Others (Ganga Lower)","CGWB","10.61","2.98"
"2015-05-14","Karnataka","29","Uttara Kannada","550","Gotegali","14.90389","74.3025","West Flowing Rivers From Tapi To Tadri","Vasishti And Others","CGWB","8.27","3.74"
"2015-08-26","Odisha","21","Sambalpur","371","Jujhumura","21.23944","84.1375","Mahanadi","Mahanadi Lower","CGWB","5.75","-2.45"
"2016-01-04","Karnataka","29","Chikkamagaluru","532","Hunsehalli","13.33083","75.55694","Krishna","Tungabhadra Upper","CGWB","3.87","-0.12"
"2013-08-24","Gujarat","24","Jamnagar","447","Toda","22.0625","70.38333","West Flowing Rivers Of Kutch And Saurashtra Including Luni","Bhadar And Other West Flowing Rivers","CGWB","2.0","-13.65"
"2014-11-04","Karnataka","29","Ramanagara","631","Kengel","12.68667","77.235","Cauvery","Cauvery Middle","CGWB","1.27","-0.88"
"2015-03-01","Madhya Pradesh","23","Seoni","428","Keolari","22.37139","79.91083","Godavari","Weinganga","CGWB","1.4","0.1"
"2014-01-04","Gujarat","24","Bhavnagar","443","Panvi1","22.075","71.89167","West Flowing Rivers Of Kutch And Saurashtra Including Luni","Shetranjuli And Other East Flowing Rivers","CGWB","11.31","8.69"
"2014-01-04","Tamil Nadu","33","Erode","573","Gobichettipalayam","11.45","77.45","Cauvery","Cauvery Middle","CGWB","9.1","0.6"
"2013-11-06","West Bengal","19","Jalpaiguri","314","Odlabari","26.86444","88.62556","Brahamaputra","Brahmaputra Lower","CGWB","1.6","0.42"
"2014-01-06","Odisha","21","Sundargarh","373","R-31 Sector-14","22.27","84.84194","Brahmani And Baitarni","Brahmani","CGWB","5.75","0.6"
"2018-11-11","Andhra Pradesh","28","Ananthapuramu","502","Nallacheruvu 2013DW","13.98722","78.18778","Pennar","Pennar Upper","CGWB","13.8","0.45"
"2014-11-06","Odisha","21","Khordha","362","Kuha","20.23417","85.79667","Mahanadi","Mahanadi Lower","CGWB","2.85","0.85"
"2017-11-03","Tamil Nadu","33","Sivaganga","585","Singapuneri","10.18417","78.42361","East Flowing Rivers Between Pennar And Kanyakumari","Pamba And Others","CGWB","8.1","-0.8"
"2020-09-20","Rajasthan","8","Alwar","87","RAMGARH1","27.58333","76.80972","Ganga","Yamuna Middle","CGWB","16.72","-13.1"
"2018-04-07","Kerala","32","Wayanad","567","Tholpetty","11.94306","76.06694","Cauvery","Cauvery Middle","CGWB","11.56","0.86"
"2017-01-06","Odisha","21","Sundargarh","373","R-17 Jhumpudibasti(Nuabazar)","22.24333","84.8825","Brahmani And Baitarni","Brahmani","CGWB","2.05","0.45"
"2021-01-09","Uttar Pradesh","9","Prayagraj","120","Karchhana","25.28333","81.93833","Ganga","Upstream Of Gomti Confluece To Muzaffarnagar","CGWB","11.19","2.05"
"2015-08-24","Karnataka","29","Ramanagara","631","Jalamangala","12.81667","77.22083","Cauvery","Cauvery Middle","CGWB","20.66","-1.16"
"2017-01-04","Rajasthan","8","Hanumangarh","101","Pale Wali Dhani","29.68333","74.1","Indus (Up To Border)","Sutlaj Lower","CGWB","25.95","-0.07"
"2017-12-31","Punjab","3","Ferozepur","31","Ghananga Kalan-Pz","30.57167","74.2125","Indus (Up To Border)","Sutlaj Lower","CGWB","4.55","-0.05"
"2013-08-24","Maharashtra","27","Thane","497","Pasheri","19.24806","73.39333","West Flowing Rivers From Tapi To Tadri","Bhatsol And Others","CGWB","0.01","-5.85"
"2015-11-06","Odisha","21","Khordha","362","B-24 Acharya Vihar","20.295","85.83194","Mahanadi","Mahanadi Lower","CGWB","1.6","0.5"
"2017-08-26","Kerala","32","Kasaragod","558","Bandadka","12.48333","75.24722","West Flowing Rivers From Tadri To Kanyakumari","Netravati And Others","CGWB","9.95","-0.25"
"2016-11-04","Karnataka","29","Uttara Kannada","550","Alakod","14.31667","74.49444","West Flowing Rivers From Tadri To Kanyakumari","Netravati And Others","CGWB","9.1","2.3"
"2017-12-31","Punjab","3","Shahid Bhagat Singh Nagar","40","Alowal-Pz","31.02778","76.21389","Indus (Up To Border)","Sutlaj Lower","CGWB","6.0","-0.5"
"2013-01-06","Odisha","21","Kendrapara","360","Rajnagar-R","20.57306","86.71083","Brahmani And Baitarni","Brahmani","CGWB","3.6","0.71"
"2021-01-09","Odisha","21","Sonepur","372","Saledi","20.95778","83.80361","Mahanadi","Mahanadi Lower","CGWB","4.64","1.41"
"2015-11-04","Punjab","3","Hoshiarpur","33","Fattowal-Pz","31.57917","75.76389","Indus (Up To Border)","Beas","CGWB","23.9","0.5"
"2022-11-08","Tamil Nadu","33","Cuddalore","570","Kurinjipadi","11.5625","79.59167","East Flowing Rivers Between Pennar And Kanyakumari","Ponnaiyar And Other","CGWB","4.94","4.09"
"2023-01-27","Tamil Nadu","33","Cuddalore","570","Maruthur2","11.49222","79.60278","East Flowing Rivers Between Pennar And Kanyakumari","Ponnaiyar And Other","CGWB","6.64","2.21"
"2019-11-09","Maharashtra","27","Chandrapur","473","Nagbhir","20.58333","79.66667","Godavari","Weinganga","CGWB","2.5","1.1"
"2018-04-19","West Bengal","19","Malda","316","Milky","25.02722","88.0","Ganga","Bhagirathi And Others (Ganga Lower)","CGWB","6.28","-0.2"
"2017-11-04","Karnataka","29","Belagavi","527","Hattargi","16.13333","74.5","Krishna","Krishna Upper","CGWB","8.33","-2.37"
"2014-03-30","Tamil Nadu","33","Sivaganga","585","Singapuneri","10.18417","78.42361","East Flowing Rivers Between Pennar And Kanyakumari","Pamba And Others","CGWB","8.7","1.25"
"2017-01-04","Haryana","6","Kaithal","66","Dorana Pz","29.51861","76.48194","Area Of Inland Drainage In Rajasthan","Area Of Inland Drainage In Rajasthan","CGWB","30.05","4.29"
"2019-11-20","West Bengal","19","Paschim Medinipur","318","Chandrakona Rd.","22.73333","87.35","Ganga","Damodar","CGWB","4.54","1.15"
"2018-01-09","Odisha","21","Balangir","345","Madiapali","20.74111","83.49556","Mahanadi","Mahanadi Lower","CGWB","4.12","1.8"
"2022-01-11","Uttar Pradesh","9","Deoria","137","Deoria2","26.52917","83.77222","Ganga","Ghaghara","CGWB","2.47","-0.83"
"2015-01-04","Maharashtra","27","Ahmednagar","466","Chichondi Patil","19.00139","74.91667","Krishna","Bhima Upper","CGWB","6.85","-7.35"
"2015-11-08","Madhya Pradesh","23","Sidhi","433","Patpara","24.485","81.89028","Ganga","Sone","CGWB","6.2","0.67"
